"Translation Info:
#---------------------------
736,5,67,"Yaa Ergamichaa! Waan Gooftaa kee irraa sirratti buufame dhaqqabsiisiYoo hin dalagin, ati ergaa Isaa hin geessifneRabbiinis namoota irraa si eegaDhugumatti, Rabbiin ummata kaafiraa hin qajeelchu.",""
737,5,68,"Jedhi: ""Yaa warra kitaabaa! Isin hanga Tawraatiin, Injiiliifi waan Gooftaa keessan irraa gara keessanitti buufametti hojjattanitti homaa irra hin jirtan."" Dhugumatti, wanti Gooftaa kee irraa gara keetti buufame daangaa dabruufi kufrii irra hedduu isaaniitiif dabalaUmmata kaafiraa irratti hin gaddin.",""
738,5,69,"Isaannan amanan, isaan yahuudoman, saabi’oonnii[]fi kiristaanonnis, namni Rabbiifi guyyaa Aakhiraatti amanee, wantoota gaggaariis dalage, isaan irra sodaan hin jiru; isaan hin gaddanis.",""
739,5,70,"Dhugumatti, Nuti waadaa Ilmaan Israa’iil irraa fuunee ergamootas gara isaanitti erginee jirraDhawaata ergamaan waan lubbuun isaanii hin feeneen isaanitti dhufuun garii isaanii ni kijibsiisu; garii isaanii immoo ni ajjeesu.",""
740,5,71,"Adabni hin jiru jechuu yaadanKanaafuu jaamanii duudanErgasii Rabbiin tawbaa isaanii irraa qeebaleErgasiis irra hedduun isaanii jaamanii duudanRabbiin waan isaan dalagan argaadha.",""
741,5,72,"Isaan ""Rabbiin Masiih Ilma Maryami"" jedhan dhugumatti kafaranii jiruMasiihis ni jedhe: ""Yaa Ilmaan Israa'iil! Rabbii Gooftaa kiyyaafi Gooftaa keessan ta’e gabbaraaDhugumatti, dubbiin namni Rabbitti waa qindeesse, Rabbiin isa irratti jannata haraama taasiseeraTeessoon isaas ibiddaMiidhaa raawwattootaafis tumsitoonni hin jiranu.""",""
742,5,73,"Isaan ""Rabbiin sadaffaa sadeeniiti"" jedhanis dhugumatti kafaraniiruGabbaramaa tokkicha malee haqaan gabbaramaan biraa hin jiruYoo waan jedhan (kana) irraa hin dhorgamin, dhugumatti warra isaan irraa kafaran adabbii laalessaa ta’etu tuqa.",""
743,5,74,"Sila gara Rabbiitti tawbatanii araarama Isa hin kadhatanuu? Rabbiin araaramaa, rahmata godhaadha.",""
744,5,75,"Masiih Ilma Maryam ergamaa isa dura ergamoonni dabran malee homaa mitiHaati isaas akkaan dhugoomsituudhaLamaanuu nyaata kan nyaatan turanAkkamitti akka keeyyattoota ifa isaaniif taasifnu ilaaliErgasiis akkamitti akka isaan (dhugaa irraa) garagalan ilaali.",""
745,5,76,"Jedhi: ""Sila isin Rabbiin alatti waan miidhaafi faayidaa isiniif hin qabne gabbartuu? Rabbitu Isa hunda dhagayaa, hunda beekaadha.""",""
746,5,77,"Jedhi: ""Yaa warra kitaabaa! amantii keessan keessatti dhugaan ala (waan biraatti amanuun) daangaa hin dabrinaaFedhii ummata duraan jallatanii dabranii, (namoota) heddus jallisaniifi karaa qajeelaa irraa jallatanii hin hordofinaa.""",""
747,5,78,"Isaan Ilmaan Israa’iil irraa kafaran arraba Daawuudiifi Iisaa Ilma Maryam irratti abaaramaniiruKun waan isaan (Rabbiin) faallessaniifi kan daangaa dabran turaniifi.",""
748,5,79,"Hamtuu hojjatan irraa kan wal hin dhorgine turanWantoonni isaan hojjataa turan waa fokkate.",""
749,5,80,"Hedduu isaan irraa ta’e kan warra kafaran jaalallee godhatan argitaRabbiin isaan irratti waan dallaneef wanti lubbuun isaanii isaaniif dabarsite waa fokkate! Isaan adabbii keessattis hafoodha.",""
750,5,81,"Odoo kan Rabbitti, nabiyyittiifi waan gara isaatti bu’etti amanan ta’anii, silaa isaan jaalallee hin godhatanu turanGaruu isaan irraa (namoonni) hedduun finciltoota.",""
751,5,82,"Dhugumatti namoota diinummaan warra amananiif akkaan cimaa ta'an yahuudotaafi mushrikoota ta’uu argitaDhugumatti, namoota jaalalaan isaan amananitti irra dhihoo ta’an warra ""nuti kiristaanota"" jedhan ta’aniitiin agartaKun waan isaan irraa qeesonniifi monokseewwan jiraniifi isaanis hin boonneefi.",""
752,5,83,")Kiristaanonni) yeroo waan gara ergamichaa buufame dhagayan, sababaa dhugaa beekaniif jecha kan ijji isaanii imimmaan dhangalaatu argitaNi jedhu: ""(Yaa) Gooftaa keenya! Nuti amannee ragoota wajjin nu barreessi.",""
753,5,84,"Sila maaltu nuuf jiraayyi Rabbiifi dhugaa irraa waan nutti bu’etti hin amanne? Gooftaan keenya ummata gaggaarii wajjin nu seensisuus ni hawwina"" (jedhu).",""
754,5,85,"Sababaa waan isaan jedhaniitiin Rabbiin jannatoota laggeen ishee jala yaatu, kan ishee keessatti hafan ta'anii isaan mindeesseKunis mindaa warra toltuu hojjatanuuti.",""
755,5,86,"Isaan kafaranii keeyyattoota keenyas kijibsiisan, sunniin warra ibiddaati.",""
756,5,87,"Yaa warra amantan! gaggaarii waan Rabbiin isiniif hayyamee haraama hin taasisinaaDaangaas hin dabrinaa; Dhugumatti, Rabbiin warra daangaa dabranu hin jaalatu.",""
757,5,88,"Halaalaafi gaarii haala ta’aniin Waan Rabbiin isiniif kenne irraas nyaadhaaRabbii Isa isin itti amantan sodaadhaa.",""
758,5,89,"Rabbiin kakuu keessan keessatti kan osoo itti hin yaadin kakattaniin isin hin qabuGaruu waan kakuuf murteeffattanii (kakattaniin) isin qabaWanti isa harcaasus hiyyeeyyii kudhan giddu gala waan maatii keessan nyaachiftan irraa nyaachisuu yookiin isaan uffisuu yookiin gabra wahii bilisoomsuudhaNamni hin argatin, guyyaa sadi soomuu qabaKun (karaa badii) kakuu keessanii yeroo kakattan ittiin harcaaftaniidhaKakuu keessan tiksaaAkka isin galateeffattaniif jecha Rabbiin akka kanatti keeyyattoota Isaa isiniif addeessa",""
759,5,90,"Yaa warra amantan! akka milkooftaniif jecha dhugumatti farsoon (kamriin), qumaarri, taaghuunni, xiyyaan hixaa (carraa) ilaallachuun (raaggachuun) najasa dalagaa sheyxaanaa irraayyii isa irraa fagaadhaa.",""
760,5,91,"Wanti sheyxaanni fedhu dhugaatii macheessaniifi qumaaraan gidduu keessanitti diinummaafi wal jibbaa buusuun Rabbiin yaadachuufi salaata irraa isin dhorguudhaSila isin hin dhorgamtanuu?",""
761,5,92,"Rabbiif ajajamaaErgamaafis ajajamaa(Wantoota dhorgaman kanneen irraa) eeggadhaaYoo irraa gara galtan immoo dhugumatti ergamaa keenya irra karaa ifa ta’een (ergaa keenya) geessuu malee wanti biraa akka hin jirre beekaa.",""
762,5,93,"Waan (dur) nyaatan keessatti isaan amananii gaggaariis hojjatan yeroo (Rabbiin) sodaatanii (Isatti) amananii gaggaariis hojjatan, ergasii (Rabbiin) sodaatanii (Isatti) amanan; ammas (Rabbiin) sodaataniifi (dalagaa) tolchan irra badiin hin jiruRabbiin toltuu hojjattoota ni jaalata.",""
763,5,94,"Yaa warra amantan! Rabbiin nama ghaybiitti Isa sodaatu mul’isuuf jecha waan adamsoo irraa harki keessaniifi waraanni keessan argatteen isin mokkoraNamni kana booda daangaa dabre, isaaf adabbii laalessaatu jira.",""
764,5,95,"Yaa warra amantan! odoo hajjii irra jirtanuu bineensa bosonaa hin ajjeesinaaNamni isin irraa odoo beekuu ajjeese, adabbiin isaa waan isin irraa namni haqaa lama murteesse beeylada irraa fakkii waan ajjeesee haala wareega taateen kan ka’abaa geeffamtu yookiin hiyyeeyyii nyaachisuu yookiin fakkiidhuma kanaa soomuudha(Kunis) akka adabbii hojii isaa dhandhamuufiWaan (dhorgamuun dura) dabre Rabbiin irra isiniif dabreeraNama (gara badichaa) deebi’es Rabbiin haaloo irraa ba’ataRabbiin injifataa, abbaa haaloo ba’annaati.",""
765,5,96,"Adamoon galaanaafi nyaanni isaa itti fayyadama keessaniifi daldaltootaatiif jecha isiniif eeyyamameeraWaan hidhannaa Hajjii keessa jirtanuun adamoon lafa irraa isin irratti haraama godhameRabbii isa gara Isaatti oofamtanu sodaadhaa.",""
766,5,97,"Rabbiin Ka’abaa mana kabajamaa, ji’a kabajamaa, horii wareegaas, horii wareegaaf mallattoon morma irratti godhames namootaaf gadi dhaabbii (jireenya) taasiseeraKun akka Rabbiin wantoota samii keessa jiraniifi wantoota dachii keessa jiran hunda kan beekuufi ammas Rabbiin waan hunda beekaa ta’uu beektaniifi.",""
767,5,98,"Beekaa! Dhugumatti Rabbiin (abbaa) adabbii cimaatiDhugumatti Rabbiinis araaramaa, rahmata godhaadha",""
768,5,99,"Ergamicha irra dhaqqabsiisuu malee homaa hin jiruRabbiinis waan isin mul’iftaniifi waan isin dhoksitan ni beeka.",""
769,5,100,"Jedhi: ""Odoma baay’inni wantoota fokkataa si dinqisiiseeyyuu fokkataaniifi gaariin wal hin qixxaatanu."" Yaa warra sammuu qabdan akka milkooftaniif jecha Rabbiin sodaadhaa.",""
770,5,101,"Yaa warra amantan! waan yoo ifa isiniif taasifamte isin rakkiftu irraa hin gaafatinaaYoo yeroo Qur’aanni bu’u ishee irraa gaafattan, ifa isiniif taasifamtiRabbiin ishee irra dabreeraRabbiin araaramaa, obsaadha.",""
771,5,102,"Ummanni isiniin duraa dhugumatti ishee gaafatanii, ergasii sababaa isheetiin kafaranii jiru.",""
772,5,103,"Rabbiin ""Bahiiraah"", ""Saa’ibaa"", ""Wasiilaa""fi ""Haam""[] karaa hin gooneGaruu warri kafaran Rabbirratti soba uumuIrra hedduun isaaniis hin xiixalanu.",""
773,5,104,"Yeroo ""gara waan Rabbiin buuseefi gara ergamichaa kottaa"" isaaniin jedhame ""wanti nuti abbootii keenya irratti argine nuuf ga’aadha"" jedhuSila odoo abbootiin isaanii homaa kan hin beekneefi karaa hin qajeelle ta’aniis (isaanuma hordofuu)?",""
774,5,105,"Yaa warra amantan! Lubbuu keessan qabaaYeroo isin qajeeltan namni jal’ate isin hin miidhuDeebiin keessan hundaatuu gara RabbiitiWaan isin dalagaa turtan hundaa isinitti hima.",""
775,5,106,"Yaa warra amantan! Yeroo tokkoo keessanitti duuti dhufe ogga dhaamsaa, nama haqaa lama kan isin irraa ta’e yookiin yoo isin dachii keessa deemtanii rakkoon du’aa isin mudate nama lama kan isiniin alaa irraa jidduu keessanitti ragaan (isin irratti dirqama)Yoo shakkitan booda salaataatii isaan lamaan dhaabdanii ""odoma fira dhihoo ta’eeyyuu isaan (ragaa keenyaan) maallaqa hin jijjiirrannu; ragaa Rabbiis hin dhoksinu; nuti yeroo sana warra dilaawaa irraayyi"" jedhanii Rabbiin kakatu.",""
776,5,107,"Yoo isaan lamaan badii haqa godhachuun beekame, fira warra (dhaala) haqa godhate irraa namni lama bakka isaan lamaanii dhaabatanii ""ragaan keenya ragaa isaan lamaanii irra dhugaadha; nuti daangaas hin dabrine; yeroo san nuti miidhaa raawwattoota irraayyi"" (jedhanii) Rabbiin kakatu.",""
777,5,108,"Ragaan bifa sirriin dhufuufi eega kakuu isaaniitii kakuun deebifamuu sodaachuuf kanatu irra dhihoodhaRabbiin sodaadhaatii (ajaja isaas) dhaga'aaRabbiin finciltoota hin qajeelchu.",""
778,5,109,"Guyyaa Rabbiin ergamoota (Isaa) walitti qabee ""deebii maaliitu isiniif deebi’e"" jedhu [yaadadhu][Isaan] ""nuti beekumsa hin qabnu; Ati situ akkaan beekaa fagooti"" jedhan.",""
779,5,110,"“Yaa Iisaa ilma Maryam! haala ati daa’imummaafi ga’eessummaan nama dubbiftuun yeroo Ani ruuhii qulqulluudhaan si jabeesse, ni’imaa Ani siifi haadha kee irratti oole yaadadhu"" yeroo Rabbiin jedhe (dubbadhu)Ammas (yeroo) Ani kitaaba, ogummaa, Tawraatiifi Injiiliin si barsiisuufi yeroo heyyama kiyyaan dhoqqee irraa waan akka allaattii uumtee afuura keessatti afuuftee heyyama kiyyaan allaattii ta’u; yeroo heyyama kiyyaan jaamaafi shoolii (barasa) fayyiftu, yeroo heyyama kiyyaan du’aa kaaftu, yeroo ati ragaa ifa ba’aan isaanitti dhufnaan isaan irraa warri kafaran “kuni sihrii ifa galaadha” jedhan, yeroo (si ajjeesuu barbaadnaan) banii Israa’iil sirraa deebise"" [yaadadhu].",""
780,5,111,"Yeroo ani gara hawaariyyootaa ""Anaafi ergamaa kiyyatti amanaa"" jechuu beeksisee isaanis ""Nuti amanne; akka nuti Muslimoota taane ragaa ba’i"" jedhan [yaadadhu].",""
781,5,112,"Yeroo hawaariyyoonni ""Yaa Iisaa Ilma Maryam! Sila Gooftaan kee maaddii (qorii) samii irraa nuuf buusuu danda’aa?"" jedhanu [yaadadhu](Iisaanis) ""Yoo mu’uminoota taataniif Rabbiin sodaadhaa"" jedhe.",""
782,5,113,")Isaanis) ""Nuti ishee irraa nyaachuu, onneen keenya tasgabbaa’uu, akka wanti ati jettu dhugaa ta’e mirkaneeffachuufi nutis san irratti warra ragaa ba’an irraa ta’uu feena"" jedhan.",""
783,5,114,"Iisaa Ilma Maryam ni jedhe: ""Yaa Allaah! Gooftaa keenya! akka dhaloota keenya kan jalqabaafi boodaatiif ayyaana (guyyaa gammachuu)fi mallattoo sirraa (buute) taatuuf samii irraa maaddii nurratti buusinu soorisAti caalaa warra rizqii kennuuti.""",""
784,5,115,"Rabbiin ni jedhe: ""Ani ishee isinirratti nan buusaIsin irraa namni san booda kafare, Ani adabbii aalama irraa eenyuunillee hin adabnen isa adaba.""",""
785,5,116,"Yeroo Rabbiin ""Yaa Iisaa Ilma Maryam! sila situ namootaan anaafi haadha kiyya Rabbii gaditti gabbaramaa lama taasifadhaa jedhee?"" jedhu [yaadadhu][Inni] ni jedhe: ""Ati qulqulloofte! Ani waan dhugaa naaf hin taane jechuun anaaf hin ta'uYoo ani isa jedheera ta'eef, ati dhugumatti isa barteettaWaan lubbuu kiyya keessaa ni beektaAni waan nafsii kee keessaa hin beekuDhugumatti, ati akkaan beekaa waan fagooti.",""
786,5,117,"Waan ati itti na ajajje ‘Rabbiin, Gooftaa kiyyaafi Gooftaa keessan gabbaraa’ jechuu malee waan biraa isaaniin hin janneHangan isaan keessa turetti isaan irratti ragaan tureErga ol nafuutee booda ati isaan irratti tiksaa turteAti waan hunda irratti ragaadha.",""
787,5,118,"Yoo isaan adabdes, isaan gabrootuma keetiYoo isaaniif araaramtes, ati simatu injifataa, ogeessa.""",""
788,5,119,"Rabbiin ni jedhe: ""Kun guyyaa warra dhugaa dubbatan dhugaan isaanii fayyaduudhaIsaaniif ishee keessatti yeroo hunda hafaa ta'anii jannatoota jala ishee laggeen yaatutu jiraRabbiin isaan irraa jaalateeraIsaanis Isarraa jaalataniiruKun milkii guddaadha.""",""
789,5,120,"Mootummaan samii, dachiifi wantoota isaan keessaa kan RabbiitiInnis waan hunda irratti danda’aadha.",""
790,6,1,"Faaruun hundi kan Rabbii isa samiifi dachii uumee, dukkanaafi ifa argamsiiseetiErgasii isaan kafaran Rabbii isaaniitti qindeessu.",""
791,6,2,"Inni isa dhoqqee irraa isin uumee ergasii beellama (du'aa) murteesseedhaBeellamni beekamaan (Qiyaamaan) immoo Isa bira jiraErgasii isin ni shakkitu.",""
792,6,3,"Inni samii keessattiifi dachii keessattis gabbaramaadhaIccitii keessaniifi ifa bahaa keessanis ni beekaWaan isin hojjattanis ni beeka.",""
793,6,4,"Keeyyanni keeyyattoota Gooftaa isaanii irraa ta'e isaanitti dhufee yoo kan isaan ishee irraa gara galan ta'e malee hin hafu.",""
794,6,5,"Dhugumatti, isaan yeroma dhugaan isaanitti dhufu sobsiisaniiruOduun waan (adabbii) isaan itti qoosaa turanii fuulduratti isaanitti dhufa.",""
795,6,6,"Sila isaaniin dura jaarraa (ummata) irraa kan dachii keessatti hanga isiniif hin mijeessin isaaniif mijeessine heddu balleessuu keenya hin ilaalanuu? Bokkaas wal hordofaa ta'ee isaan irratti buufneLaggeenis jala isaanii akka yaatu gooneBadii isaaniitiin isaan balleessinee booda isaaniitii jaarraa biraa uumne.",""
796,6,7,"Odoo kitaaba waraqaa irratti barreeffame sirratti buufnee silaa harka isaanitiin isa tuqanii warri kafaran ""kun sihrii ifa ta’e malee homaa miti"" jedhu.",""
797,6,8,"Ni jedhu: ""Maaliif Maleykaan isa irratti hin buufamin?"" Odoo Maleykaa buufnee silaa dhimmichi ni murteeffama; Ergasii yeroon isaaniif hin kennamu ture.",""
798,6,9,"Odoma maleykaa isa gooneeyyuu dhugumatti silaa dhiira isa taasifneeti waan isaan walitti fakkeessan isaan irratti wal fakkeesina turre.",""
799,6,10,"Dhugumatti, ergamoota si dura turanittis qoosamee tureIsaan irraa warra qoosanitti wanti isaan itti qoosaa turan isaanitti marse.",""
800,6,11,"Jedhi: ""dachii keessa deemaa; ergasii booddeen warra dhugaa kijibsiisee akkam akka ta’e ilaalaa.""",""
801,6,12,"""Wantoonni samiifi dachii keessa jiran hundi kan eenyuuti?"" jedhi“Kan Rabbiiti” jedhiLubbuu Isaa irratti rahmata barreessee jiraDhugumatti, Guyyaa Qiyaamaa mamiin isa keessa hin jirreef walitti isin qabaIsaan lubbuu isaanii hoongessan, hin amananu.",""
802,6,13,"Wanti halkaniifi guyyaa keessa callises kan RabbiitiInni dhagayaa, beekaadhas.",""
803,6,14,"""Sila Rabbii uumaa samiifi dachii, inni kan nyaachisu hin nyaanne ta'een alan gabbaramaa tolfadhaa?"" jedhi""Ani jalqaba nama Rabbiif bulee ta'uuttin ajajameMushrikoota irraas hin ta'in (jedhameera)"" jedhi",""
804,6,15,"""Ani yoon Gooftaa kiyya faallesseef adabbii guyyaa guddaan sodaadha"" jedhi.",""
805,6,16,"Namni guyyaa san isa (adabicha) irraa deebifame, dhugumatti (Rabbiin) isa mararfateeraKun milkii guddaadha.",""
806,6,17,"Yoo Rabbiin miidhaan si tuqe, Isa malee deemsisaan isaaf hin jiruYoo toltuudhaan isin tuqes, Inni waan hunda irratti danda’aadha.",""
807,6,18,"Inni gabroota Isaa irratti mo’ataadhaInni ogeessa, keessa beekaadhas.",""
808,6,19,"""Sila ragaadhaaf waan hunda irra maaltu guddaadha?"" jedhi""RabbumaGidduu kiyyaafi gidduu keessanitti ragaadhaQur’aanni kunis akkan ittiin isiniifi nama inni bira ga’u dinniinuuf gara kiyyatti beeksifameSila isin dhugumatti Rabbii wajjin gabbaramaan biraa ni jira jettanii ragaa baatuu?"" jedhiin""Ani ragaa (akkasii) hin ba’u"" jedhi""Dhugumatti, Inni dhugaan gabbaramaa tokkichaAnis waan isin gabbartan irraa qulqulluudha"" jedhi.",""
809,6,20,"Warri kitaaba isaaniif kennine akka ilmaan isaanii beekanitti isa beekuWarri lubbuu isaanii hoongessan, isaan hin amananu.",""
810,6,21,"Nama Rabbirratti kijiba uume yookiin keeyyattoota Isaa kijibsiise caalaa namni miidhaa hojjate eenyu? Dhugumatti, miidhaa hojjattoonni hin milkaayanu.",""
811,6,22,"Guyyaa hunda isaanii walitti qabnee, ergasii isaan qindeessaniin ""sila warri isin Rabbii wajjin gabbaramoodha jettanii mormaa turtan eessa jiru?"" jennuun san [yaadadhu].",""
812,6,23,"Ergasii deebiin isaanii ""Rabbii keenyaan kakannee! nuti mushrikoota hin taane"" jechuu malee hin jiru.",""
813,6,24,"Akka itti isaan lubbuu isaanii kijibsiisaniifi wanti isaan uumanii odeessaa turan akka itti isaan irraa bade mee ilaali!",""
814,6,25,"Isaan irraas nama gara kee dhageeffatutu jiraAkka isaan isa hin hubanne onnee isaanii irratti haguuggaa, gurra isaanii irratti immoo duudina taasifnee jirraOdoma mallattoowwan hundaa arganiiyyuu, isheetti hin amananuWarri kafare yeroo kan sitti falman ta'anii sibira dhufan, (Qur’aanni) kun ogbarruu warra durii malee waan biraatii miti"" jedhu.",""
815,6,26,"Isaan isa (Muhammadiin) irraa dhorgu; Isa irraas fagaatanLubbuu isaanii malee homaa hin balleessan; garuu hin beekanu",""
816,6,27,"Yeroo isaan ibidda irra dhaabamanii ""yaa hawwii keenya! odoo (addunyaatti) deebifamnee aayatoota Rabbii keenyaas kijibsiisuu dhiifnee mu'umina irraas taanee"" jedhan argitee (waan rifachiisaa argita ture)",""
817,6,28,"Dhugumatti wanti isaan kana dura dhoksaa turan isaaniif mul’ateOdoo deebifamaniis waan irraa dhorgamanitti deebi’uIsaan kijibdoota.",""
818,6,29,"""Isheen jireenya addunyaati malee kan biraa miti, nutis (du’a booda) hin kaafamnu"" jedhan.",""
819,6,30,"Yeroo isaan Gooftaa isaanii fuulduratti dhaabaman odoo argitee (waan rifachiisaa argita ture)""Sila inni kun dhugaa mitii?"" jedhe""Eeyyeen; Gooftaa keenyaan kakannee! dhugaa dha"" jedhan""Waan kafaraa turtaniif (amma) adabicha dhandhamaa!"" jedhe.",""
820,6,31,"Isaan wal qunnamtii Rabbii kijibsiisan dhugumatti hoonga’aniiruYeroo Qiyaamattiin tasa isaanitti dhufte badii isaanii dugda isaanii irratti baataa ""Waan ishee (addunyaa) keessatti hanqifneef yaa gaabbii keenya!"" jedhanDhagayaa! Ba’aan isaanii waa fokkate!",""
821,6,32,"Jireenyi addunyaa taphaafi qoosaa malee waan biraa mitiDhugumatti warra (Rabbiin) sodaataniif ganda Aakhiraatu caalaSila isin hin xiinxaltanuu?",""
822,6,33,"Dhugumatti wanti isaan jedhan si gaddisiisuu ni beeknaIsaan (onnee isaatiin) si hin kijibsiisanuGaruu miidhaa raawwattoonni keeyyattoota Rabbii kijibsiisu",""
823,6,34,"Dhugumatti, ergamoonni si duraas kijibsiifamaniiruWaan kijibsiifaman irrattis ni obsanHanga tumsi keenya isaaniif dhufuttis ni rakkifamanJechoota Rabbiitiif jijjiiraan hin jiruDhugumatti, oduu ergamootaa irraa (hangi tokko) sitti dhufeera.",""
824,6,35,"Yoo (sirraa) garagaluun isaanii sitti ulfaate, mallattoon isaanitti dhufuuf yoo qaawwa dachii keessa barbaaduu yookiin kortoo samii keessaa dandeesse (raawwadhu)Rabbiin odoo fedhee, (hunda isaanii) qajeeluma irratti walitti isaan qabaWallaalaa irraas hin ta’in.",""
825,6,36,"Kan owwaatu warruma dhaga’u qofaDu'aawwan immoo Rabbiin isaan kaasaErgasii gara Isaatti deebifamu.",""
826,6,37,"""Maaliif mallattoon Gooftaa isaa irraa isa irratti hin buufamne?"" jedhu""Dhugumatti, Rabbiin mallattoo buusuu irratti danda’aa dha"" jedhiGaruu irra hedduun isaanii hin beekanu",""
827,6,38,"Deddeemtuu dachii keessaas ta'ee simbirroon koola isaa lamaaniin bararus uumamuma akka keessanii malee hin taaneKitaaba keessatti Nuti homaa hin dhiifneErgasii gara Gooftaa isaanii oofamu.",""
828,6,39,"Isaan keeyyattoota keenya kijibsiisan duudaafi arraba qabamaa dukkana keessa jiraniidhaRabbiin nama fedhe isa jallisa; nama fedhe immoo karaa qajeelaa irra isa godha.",""
829,6,40,"Jedhi: ""Sila yoo adabbiin Rabbii isinitti dhufe yookiin Qiyaamaan isinitti dhufte, yoo kan dhugaa dubbattan taataniif, waan Rabbiin alaa ni kadhattuu? mee naaf himaa!""",""
830,6,41,"Dhugumatti Isa qofa kadhattu, yoo fedhe waan isin gara isaatti kadhattan san isin irraa kaasaWaan qindeessitanis ni irraanfattu.",""
831,6,42,"Dhugumatti, gara ummattoota siin duraatti erginee jirraAkka isaan (Rabbitti) watwaataniif hiyyummaafi dhukkubaan isaan qabnee jirra.",""
832,6,43,"Maaliif yeroo adabbiin keenya isaanitti dhufe (Rabbitti) hin watwaatinGaruu onneen isaanii ni gogdeSheyxaannis waan isaan dalagaa turan isaaniif miidhagse.",""
833,6,44,"Yeroma isaan waan ittiin gorfaman dagatan, balbala waan hundaa isaanitti banne; yeroo isaan waan kennamaniin gammadan odoo hin beekne (adabaan) isaan qabneIsaan yoosuu abdii murattoota.",""
834,6,45,"Booddeen ummata isaan miidhaa hojjatanii ni murameFaaruun kan Rabbii Gooftaa aalamaati.",""
835,6,46,"Jedhi: “Mee naaf himaa! Yoo Rabbiin dhageettiifi argaa keessan fudhatee, onnee keessan irrattis cufe, gabbaramaan Rabbiin alaa isa isiniif fidu eenyu?” Akkamitti keeyyattoota akka ibsinuufi ergasii akkamitti akka isaan gara galan ilaali.",""
836,6,47,"Jedhi: ""Mee naaf himaa! Yoo adabbiin Rabbii tasa yookiin ifatti isinitti dhufe, sila ummata miidhaa hojjattoota malee ni balleeffama?""",""
837,6,48,"Nuti ergamoota gammachiisoofi dinniinoo taasifnee malee hin erginuWarri amananiifi toltuu hojjatan sodaan isaan irra hin jiru; isaan hin gaddanus.",""
838,6,49,"Isaan keeyyattoota keenya kijibsiisan, waan isaan fincilaa turaniif adabbiin isaan tuqa.",""
839,6,50,"Jedhi: ""Kuusaaleen Rabbii ana bira jira isiniin hin jedhu; fagoos hin beeku; ani Maleykaa dhas isiniin hin jedhuWaan gara kiyya buufame malee hin hordofuSila jaamaafi argaan wal qixxaataa? Sila hin xiinxaltanii?"" (jedhi).",""
840,6,51,"Isaan isa (Rabbiin) malee jaalalleefi manguddoo kan hin qabne ta'anii gara Gooftaa isaaniitti walitti qabamuu sodaatan akka isaan (Rabbiin) sodaataniif isaan (Qur’aanaan) dinniini.",""
841,6,52,"Warra fuula Isaa barbaaduuf ganamaafi galgala Gooftaa isaanii kadhatan hin ari’inIsaan ariitee miidhaa raawwattoota irraa akka taatuuf qormaata isaanii irraa waa tokko sirra hin jiru; qormaata kee irraas waa tokko isaan irra hin jiru",""
842,6,53,"Akkasuma ""isaan kana Rabbiin nu gidduudhaa tola itti oolee?"" akka isaan jedhaniif garii isaanii gariin mokkoreSila Rabbiin galateeffattoota akkaan beekaa hin taanee?",""
843,6,54,"Yeroo warri keeyyattoota keenyatti amanan sitti dhufan ""Nageenyi isin irra haa jiraatuGooftaan keessan lubbuu Isaa irratti rahmata barreesseera: ‘namni isin irraa wallaalumaan hamtuu hojjatee ergasii isa booda gara Rabbii deebi’ee toltuu hojjate, dhugumatti Inni (isaaf) araaramaa, (isaaf) rahmata godhaa dha"" (jedhi).",""
844,6,55,"Akkasumas akka (dhugaan mirkanaa'uu fi) karaan yakkamtootaas ifa ta’uuf jecha keeyyattoota addeessina",""
845,6,56,"""Ani warra isin Rabbiin ala gabbartan gabbaruu irraa dhorgameera"" jedhi""Ani fedha lubbuu keessanii hin hordofu, yoos dhugumatti ani jalladhe; warra qajeelan irraahii miti"" jedhi.",""
846,6,57,"Jedhi: ""Ani ragaa ifa ta’e kan Gooftaa kiyya irraa dhufe irran jiraIsin isa kijibsiiftaniWanti isin arifachiifattan ana bira hin jiruMurtiin Rabbiif malee hin taaneInni dhugaa murteessaInni irra caalaa warra murteessaniiti.""",""
847,6,58,"Jedhi: ""Odoo wanti isin arifachiifattan ana bira jiraatee, silaa dhimmichi gidduu kiyyaafi gidduu keessanitti ni murtaa’a tureRabbiin miidhaa hojjattoota akkaan beekaadha.""",""
848,6,59,"Furtuuwwan fagoo (ghaybii) Isa bira jiraIsa malee homtuu ishee hin beekuInni waan dachii keessa jiruufi waan bahra keessa jirus ni beekaBaala irraas tokkollee inni beeku malee hin kufuFiriin dukkana dachii keessaa, jiidhaafi gogaanis kitaaba ifa ta’e keessa jiraatu malee hin hafu.",""
849,6,60,"Inni Isa halkan isin ajjeesuudha; Waan isin guyyaa carraaqxanis ni beekaErgasii akka beellamni murtaa'aan dhumuuf isa (guyyaa) keessa isin kaasaErgasiis deebiin keessan gara IsaatiErgasiis waan isin hojjachaa turtan isinitti hima.",""
850,6,61,"Inni gabroota Isaa gubbaa ta'ee, hundaa injifataadhaIsin irrattis tiksitoota ergaYeroo duuti tokkoon keessanitti dhufe ergamoonni keenya isaan kan (ajaja) hin hanqifne ta'anii isa ajjeesu",""
851,6,62,"Ergasiis gara Gooftaa isaanii dhugaa ta'e, gara Rabbii deebifamuDhagayaa! murtiin kan Isaa qofaInnis irra arifataa qorattootaati.",""
